Date,Open,High,Low,Close,Adj Close,Volume
2021-09-10,58.439998626708984,58.65999984741211,57.709999084472656,57.77000045776367,57.39527130126953,1147500
2021-09-13,58.310001373291016,58.310001373291016,57.060001373291016,57.45000076293945,57.07734680175781,1079000
2021-09-14,57.439998626708984,57.66999816894531,55.77000045776367,56.099998474121094,55.73609924316406,2333200
2021-09-15,56.119998931884766,57.79999923706055,56.029998779296875,57.47999954223633,57.10715103149414,1390700
2021-09-16,57.439998626708984,57.56999969482422,56.63999938964844,57.459999084472656,57.0872802734375,1217300
2021-09-17,57.65999984741211,57.709999084472656,56.16999816894531,57.0099983215332,56.640193939208984,48381800
2021-09-20,55.880001068115234,56.689998626708984,55.619998931884766,56.34000015258789,55.974544525146484,2672600
2021-09-21,56.650001525878906,56.97999954223633,56.209999084472656,56.630001068115234,56.262664794921875,1626800
2021-09-22,57.060001373291016,57.56999969482422,56.40999984741211,57.400001525878906,57.027671813964844,1474900
2021-09-23,57.75,58.0099983215332,57.150001525878906,57.47999954223633,57.10715103149414,1162400
2021-09-24,57.5099983215332,58.13999938964844,57.459999084472656,58.099998474121094,57.72312545776367,812300
2021-09-27,58.220001220703125,58.220001220703125,57.27000045776367,57.31999969482422,56.948184967041016,1044600
2021-09-28,57.25,57.25,55.560001373291016,55.790000915527344,55.4281120300293,1450100
2021-09-29,55.900001525878906,56.599998474121094,55.900001525878906,56.22999954223633,55.86526107788086,1093500
2021-09-30,56.470001220703125,56.58000183105469,55.439998626708984,55.45000076293945,55.09031677246094,1631700
2021-10-01,55.70000076293945,57.970001220703125,55.470001220703125,57.599998474121094,57.22636795043945,2024100
2021-10-04,57.630001068115234,58.06999969482422,56.790000915527344,57.18000030517578,56.80909729003906,1398000
2021-10-05,57.47999954223633,58.470001220703125,57.18000030517578,58.130001068115234,57.752933502197266,1602400
2021-10-06,57.650001525878906,58.83000183105469,57.529998779296875,58.79999923706055,58.41858673095703,933500
2021-10-07,59.18000030517578,59.869998931884766,59.04999923706055,59.45000076293945,59.06437301635742,946600
2021-10-08,59.5,60.06999969482422,59.33000183105469,59.9900016784668,59.600868225097656,757700
2021-10-11,60.09000015258789,60.869998931884766,59.939998626708984,60.25,59.85918045043945,939200
2021-10-12,60.52000045776367,61.349998474121094,60.22999954223633,60.75,60.355934143066406,967800
2021-10-13,60.689998626708984,61.709999084472656,60.40999984741211,61.630001068115234,61.230228424072266,1026900
2021-10-14,62.11000061035156,63.16999816894531,62.02000045776367,63.130001068115234,62.72050094604492,1208200
